rsrp,rsrq,ref_signal_power,cipher_null,integrity_null,tac_change,cell_barred,auth_present,smc_present,reject_cause,label
-92.49188922039843,-8.594341664481393,11.538628671592663,0,0,0,0,1,1,0,1
-92.33543701905396,-7.744610602493632,13.641579897573726,0,0,0,0,1,1,0,0
-76.37877519723132,-13.787167896571496,25.538963017660002,0,0,0,0,1,1,7,0
-76.46576894259746,-8.750947005620745,29.528576348614177,0,1,1,0,0,0,15,0
-103.1097389315232,-13.49448428938312,13.150641177914853,0,0,0,0,1,1,0,0
-106.34147336127656,-5.285992551752897,11.694627292684366,0,0,0,0,1,1,7,0
-62.00751564443277,-7.589883095117679,28.981744820310286,0,1,0,0,0,0,15,1
-68.3163107382896,-9.769003121357272,26.535468071422603,0,0,1,0,0,0,15,1
-98.21594064103364,-10.084249225312096,9.732299705468215,0,0,0,0,1,1,0,0
-94.18374962207541,-8.511637875733642,16.42702516123343,0,0,0,0,1,1,0,0
-92.2783201850533,-10.88304317058175,10.00948880342483,0,0,0,0,1,1,3,0
-79.23528688515428,-3.923324932846899,26.317208924353217,1,1,0,0,1,0,7,1
-69.6615108278449,-8.5158021511347,25.664870524601195,1,1,0,1,0,1,3,1
-67.22945317046073,-9.423159929047848,28.637277524195362,0,1,1,0,0,0,12,0
-101.014046782508,-8.828635203838353,12.975322933230665,0,0,0,0,1,1,0,0
-66.47394677222289,-12.45667418617256,26.790572341804452,1,1,1,1,0,0,0,1
-97.16124103469677,-8.449891544054601,21.27282578825533,0,0,0,0,1,1,0,0
-104.37605754075852,-16.404081002430566,22.365022457707617,1,0,0,0,0,1,3,0
-79.68411659766365,-8.665630291004751,30.0157730057779,1,1,1,0,1,0,22,1
-87.08332852324118,-10.945523169655672,19.157476179674212,0,0,0,0,1,1,7,0
-72.2022106355833,-6.562003724307539,32.0797857967433,0,1,1,0,0,1,15,1
-74.56815179954425,-3.0271504237900375,23.456283386568888,1,1,1,0,0,0,3,1
-68.90170239509719,-5.410771527820533,22.262815421241392,0,0,0,0,0,0,22,1
-91.92039227115309,-6.0141067994516915,16.758064577165715,0,0,0,0,0,1,0,0
-94.47175441951028,-10.557870031558146,8.188885552426761,1,0,0,0,1,1,0,0
-60.7372796128987,-7.361580083373157,29.804459315295382,1,1,1,1,1,0,22,1
-91.43142238814336,-7.512636786801842,17.559744663203166,0,0,0,0,1,1,0,0
-98.12371159570247,-8.015865430324876,20.694237889060133,0,0,0,0,1,1,0,0
-83.36759854834034,-12.354337741467974,9.349435909595114,0,0,0,0,1,1,3,0
-96.90538995179732,-7.111118280251656,10.966764454902952,0,0,0,0,1,1,0,0
-62.97957405768051,-6.101603428438006,26.196503874114303,0,0,1,0,0,0,15,0
-68.72980744318113,-10.27458836969674,27.486380006439354,1,0,1,0,1,0,7,1
-94.17957453018987,-15.143457686488365,23.247196610926434,0,0,0,0,1,1,0,0
-100.71099859229187,-11.848578219972083,8.71560902971753,0,0,0,0,1,1,0,0
-96.07058371612833,-4.644044817325818,14.280239648466775,0,0,0,0,1,1,3,0
-93.95153739163085,-14.137447754045763,16.940490235478325,0,0,0,0,1,1,7,0
-98.25554999018047,-10.097011356085646,14.844283198060637,1,0,0,0,1,0,3,0
-67.43727449891126,-8.062886287312018,25.559059689818124,1,1,1,1,0,0,22,1
-79.02615286646571,-3.0,17.4577604915699,1,0,0,0,1,1,0,0
-94.69135101615267,-7.543708148957674,17.215814023981295,0,0,0,0,1,1,7,0
-69.29662400998765,-9.939866490953865,30.887886592088297,1,1,0,0,1,1,3,1
-89.69867223691612,-7.321432551031134,19.677080436280686,0,0,0,0,1,1,0,0
-104.42642898491893,-15.803592207139353,10.65586178786341,0,0,0,0,1,1,0,0
-66.76082083314036,-6.523833248312536,22.49115108968072,1,1,0,0,0,0,0,1
-77.2905379533582,-6.730034592673501,34.79897905652373,1,1,0,1,0,0,22,1
-93.81098323757735,-12.09706555931178,15.744211374608755,0,0,0,0,1,1,0,0
-104.9557743008086,-13.09215109579702,15.737466828702656,0,0,0,0,1,1,0,0
-71.68910027194136,-10.641413674271472,17.52495331226859,0,0,0,0,1,1,7,0
-64.60790570511281,-4.538285205955296,20.804495944290174,1,1,0,0,0,0,7,1
-102.52897676739967,-10.092497542252554,18.478703026777964,0,0,0,0,1,1,0,0
-94.27608174697701,-9.456057346415742,12.791901083953693,0,0,0,0,1,1,0,0
-106.97310951922661,-6.613026697113948,17.18444732356979,0,0,0,0,1,1,0,0
-94.64630097516641,-9.404856518120681,11.075602530127142,0,0,0,0,1,1,0,0
-63.47203739816938,-6.456297536860469,18.959042108367235,1,1,0,0,0,1,0,1
-97.99873170318088,-8.687032979397081,21.68448491425299,0,0,0,0,1,1,0,0
-105.3717786245981,-11.151402777123236,9.495826673707407,0,0,0,0,1,1,0,0
-89.15380247089084,-6.7633628829107835,13.51715846210758,0,0,1,0,1,1,0,0
-68.03389787783235,-3.0,30.739720166956488,1,1,1,0,0,0,7,1
-92.37603613028712,-13.54443720378646,11.5520705787465,0,0,0,0,1,1,7,1
-70.77413272368287,-8.25122140646221,23.107132295675225,0,0,0,0,0,0,22,0
-67.98220471594564,-6.005703687890352,33.32565686317722,0,0,1,0,0,0,3,1
-97.81706840390584,-8.428147137421988,19.53515709025605,0,0,0,0,1,1,3,0
-71.92936339978728,-10.428593418371106,23.849097061005043,0,1,0,0,1,0,3,1
-96.68552011490526,-6.4290828894696475,16.149163044145453,0,0,0,0,1,1,0,0
-91.96925917233284,-11.302601299776656,14.838630453863951,0,1,0,0,1,1,0,0
-83.30844566206238,-8.613362532968125,17.851989701380397,1,0,0,0,1,1,0,0
-96.51395472749124,-14.413345703154672,14.328503722294755,0,0,0,0,1,1,0,0
-102.19755829190203,-4.881724725617082,12.663882667111968,0,0,0,0,1,1,3,1
-92.3132699445358,-12.828039743594022,16.026537524326116,0,0,0,0,1,1,0,0
-94.03057640560431,-9.957783751379486,13.959085477747516,0,0,0,0,0,1,0,0
-107.02002764832717,-16.97611412462286,12.851612041735548,0,0,0,0,1,1,7,0
-90.67094711356376,-15.762747777685544,13.149914464228699,0,0,0,0,1,1,0,0
-65.52616477779605,-8.647613894276098,22.03189719535434,1,1,1,0,0,0,22,1
-107.05860518218438,-8.558997112355861,14.320502065681044,0,0,0,0,1,1,0,0
-68.7377837200773,-6.172053377755006,24.720754555807193,1,0,0,0,1,0,0,1
-69.56917056505972,-8.01867230035469,11.624760085901107,0,0,0,0,1,1,0,0
-87.4754822688703,-10.307190119833288,12.209771173614769,0,0,0,0,1,1,0,0
-72.21830215141613,-10.560659423982138,31.050087879932576,0,1,0,0,0,0,12,1
-69.62479952299738,-6.048788642593463,28.876426043219624,1,1,1,0,0,0,22,1
-79.50215070056386,-9.994001930754738,21.11725391586918,0,0,0,0,1,1,0,0
-96.52520846004127,-18.249028058891724,20.159718794472965,0,0,0,0,1,1,3,0
-105.41743605489854,-12.022637385173526,8.410014803810245,1,0,1,0,1,1,7,0
-93.58741313237032,-8.828408211041449,21.14943020759121,0,0,0,0,1,1,0,0
-68.64640209665096,-3.0,31.10801188759391,1,1,0,0,1,0,0,1
-103.06828833554486,-9.058542939678635,16.689869696948907,0,0,0,0,1,1,0,0
-101.82594680447056,-8.036021414656641,11.732827282918976,0,0,0,0,1,1,0,0
-89.79525769740239,-5.344359639632534,14.481055187245987,0,0,1,0,1,1,0,0
-93.01867279112845,-8.480250537429239,15.097794887679147,0,0,0,0,1,1,7,1
-109.06182713085305,-14.172056289925768,11.122405689045518,0,0,0,0,1,1,0,0
-91.1689956918363,-15.424432140612238,13.2344707505362,0,0,0,0,1,1,0,0
-83.94633925297762,-10.100810319868426,16.40772308327463,0,0,0,0,1,1,7,1
-76.59704191989098,-3.957480213255104,22.277982319282806,0,1,1,0,0,0,12,1
-69.5648316841842,-4.2253474182417765,29.63469206298138,1,1,0,0,0,0,0,1
-80.97047178639136,-4.250665369793769,16.038167062286153,0,0,0,0,1,1,0,1
-65.27398414231423,-6.721630412076875,26.720249976980213,1,0,1,0,0,0,22,1
-61.55500975631003,-4.675717793814594,40.69252782492134,0,0,1,0,1,1,0,1
-71.80750703752734,-8.627571639773011,23.91949762617225,1,0,1,0,0,1,12,1
-95.14050261181957,-13.253831867308715,15.796952164996958,0,0,0,0,1,1,0,0
-75.04552340116138,-4.295924251759321,18.64771425468856,0,1,1,1,0,0,0,1
-88.37609458562353,-15.046979445373081,14.434389316698487,0,0,0,0,1,1,0,0
-96.96609200010322,-12.349539585145504,12.339753118553508,0,0,0,0,1,1,0,0
-74.7652262895981,-5.054713207557866,26.49584189336079,1,1,1,0,1,1,12,1
-102.10507082986922,-9.422736646695457,15.036692992728517,0,0,0,0,1,1,3,0
-105.24855365476665,-15.556485566203605,13.058415188343508,0,0,0,0,1,0,0,0
-69.39724437500263,-8.095061219581268,29.21857931853906,1,1,0,0,0,0,3,1
-92.84869241857119,-6.334814001347222,16.60771313231525,0,0,0,0,1,1,0,0
-104.19363197750636,-13.30198379270308,17.90283193327489,0,0,1,0,1,1,0,1
-94.18459290101875,-7.172219137300623,13.50622813460194,0,0,0,0,1,1,3,0
-79.98524310974663,-7.236547760815624,20.864811278502728,0,0,0,0,1,1,0,1
-97.89016340002756,-8.78505304322597,14.759631008979474,1,0,1,0,1,1,0,0
-58.57919434824666,-9.213177284368655,25.90513841791135,1,0,1,0,0,0,3,1
-79.85790736111854,-9.37154411957886,27.203948062802823,1,1,0,0,0,0,0,1
-97.7898005779875,-12.508171344537361,13.237968556608026,0,0,0,0,1,1,3,0
-98.42662257730485,-12.702690985913726,15.403747166940619,0,0,0,0,1,1,0,0
-101.5035287624826,-13.097191058664542,14.817767492981837,0,1,0,0,1,1,0,0
-99.31017054094194,-14.105002892653353,7.932152407479783,1,0,0,0,0,1,3,0
-99.62315286462125,-4.668451479226827,14.75393728158145,0,0,0,0,1,1,7,0
-76.64667668850387,-9.1813789424318,24.02245911395296,0,1,1,0,1,0,3,1
-91.10422015371535,-9.248661099217719,14.54271132798101,0,0,0,0,1,1,7,0
-68.76034523366329,-5.680775813190465,25.28086015361754,1,0,1,0,1,0,15,1
-72.51385901990135,-7.278965545322091,22.272555433091085,1,0,0,0,0,0,0,1
-71.66678383550966,-3.0,32.02867069732959,1,1,1,0,0,0,7,1
-68.84697451202918,-7.669861223224824,29.053138636258037,1,1,0,0,0,0,15,1
-77.26351099083912,-11.506682249737707,19.666640320923044,1,0,0,0,0,0,0,1
-94.88377694449944,-7.5647928700104945,13.934411699229965,0,0,0,0,1,1,0,0
-87.00140602471764,-12.449725322366724,12.865921897268482,0,0,0,0,1,1,0,0
-72.13841404150715,-7.532740209405185,29.92732672369381,1,1,0,0,0,0,7,1
-63.48686038728117,-11.754169054638764,32.72206153238519,1,1,0,1,0,0,7,1
-112.44168051591579,-9.547235419580511,16.52331701135069,0,0,0,0,1,1,0,0
-85.49892485823104,-8.544754698807612,8.579776083984306,0,0,0,0,1,1,7,0
