rsrp,rsrq,ref_signal_power,cipher_null,integrity_null,tac_change,cell_barred,auth_present,smc_present,reject_cause,label
-103.66959061886449,-11.997633133361308,19.653983257225896,0,0,0,0,1,1,0,1
-94.20418021587409,-8.077027841815081,14.99552111200844,0,0,0,0,1,1,0,0
-110.49470432496148,-8.75615114491989,16.428514705085284,0,0,0,0,1,0,0,0
-66.85621113835573,-3.1486633058035918,29.690358633636365,1,1,0,1,0,0,0,1
-79.14896789970354,-11.039834118585581,29.882275796050937,0,1,1,0,0,0,15,1
-66.57908380030172,-5.307853404269288,24.058584246075178,0,0,0,0,1,0,3,1
-93.52753734982747,-8.045378138068124,12.029284581195387,0,0,0,0,1,1,0,0
-100.9687860532201,-8.827824921733312,9.31179293543947,0,0,0,0,1,1,3,1
-93.13859030916237,-10.608825831026111,15.043931570329605,0,0,0,0,1,1,0,0
-86.98603681878794,-13.823855206046519,14.243017213726434,0,0,0,0,1,1,3,0
-70.51353883966483,-3.0,30.981692502970656,1,0,0,0,0,0,7,1
-96.209981173971,-9.959933225368982,18.557385015089398,0,0,0,0,1,1,3,0
-91.83252900455341,-6.07526017936027,13.20448951887846,0,0,0,0,1,1,0,0
-96.9148450197842,-6.4287593101187674,8.154107361078164,1,0,0,0,1,1,7,1
-101.95237798291826,-10.505955260201358,13.233232823308024,0,0,0,0,1,0,0,1
-71.67540547223811,-7.107818805883896,36.53981596705369,1,1,1,0,0,1,22,1
-97.28978359872535,-9.736111311006994,16.947274188597135,0,0,0,0,1,1,3,0
-88.24491847611743,-14.761294902394726,18.079583925099058,0,0,0,0,1,1,0,0
-94.57475721937706,-14.281409206558724,14.920393316373659,0,0,0,0,1,1,7,1
-92.44479788967017,-12.07580108852383,10.446693092156229,0,0,0,0,1,1,0,1
-90.28362491171518,-11.05457420542988,13.874520032377196,0,0,0,0,1,1,0,0
-104.2966361018743,-9.61021043750178,8.35398032104596,0,0,0,0,1,1,7,1
-105.73740133096726,-7.106347953282,4.002258455845778,0,0,0,0,1,1,0,0
-88.02856977641449,-11.236448135370903,13.495583237761672,0,0,0,0,1,1,3,0
-75.25183828263833,-4.585967715603056,33.72093141736569,1,1,0,1,1,1,0,1
-78.15565927843608,-5.627426370157314,26.321999350060448,1,1,0,1,1,0,0,1
-83.16580391460616,-12.793220463826309,8.093573275504887,0,0,0,0,1,1,0,0
-95.09855434343449,-10.103424595103899,18.844373944480864,0,0,0,0,1,1,0,0
-84.19499903237875,-4.910239951087448,15.157252264097185,1,0,0,0,1,1,0,0
-69.13151771699553,-6.230294489556426,26.88230879222761,0,1,1,0,1,1,12,0
-76.7335845232842,-10.400949554561876,34.02371541699723,0,0,1,1,0,0,0,1
-110.6082815092307,-11.951690861216775,11.536240464670856,0,0,0,0,1,1,3,0
-89.92871697813005,-8.185625252348295,19.20741944211008,0,0,0,0,0,1,0,0
-67.8979537932912,-15.831663006047442,20.57339475996772,1,0,1,0,1,0,7,1
-99.44261775055213,-8.620882134955037,9.284738263094887,0,0,0,0,1,1,0,0
-45.092551617762396,-9.116546716098245,32.509906475879575,1,1,0,0,0,1,7,1
-62.80385916830971,-7.152027872698772,38.8258541575319,0,1,0,0,1,1,22,1
-84.43470675577467,-8.054817966283862,17.92725357728355,0,0,0,0,1,1,3,1
-98.31578452668687,-9.727599929169857,12.147811673234745,0,0,0,0,1,1,0,1
-72.52631311016398,-4.341432524331755,14.108711296971155,0,0,0,0,1,1,0,0
-83.58011773052397,-7.010335346504788,17.965127067940088,0,0,0,0,1,1,7,0
-54.683745675099075,-6.701792416054699,32.825460060629574,0,1,0,0,1,0,12,1
-95.49059476663078,-10.635201407633183,15.84345840835235,0,0,0,0,1,1,0,0
-75.65481146152939,-5.15099080437697,21.057482659723142,1,1,1,0,0,1,7,1
-72.46474307440324,-4.833786422377004,29.804743571743398,0,1,1,0,1,0,7,1
-91.48805473009361,-15.99240007866958,10.439172573395368,0,0,0,0,1,1,0,0
